Epoch 550 | Loss: 0.3590 | Train Acc: 0.8387 | Val Acc: 0.8464
Epoch 600 | Loss: 0.3586 | Train Acc: 0.8473 | Val Acc: 0.8321
Epoch 650 | Loss: 0.3567 | Train Acc: 0.8586 | Val Acc: 0.8500
Epoch 700 | Loss: 0.3622 | Train Acc: 0.8253 | Val Acc: 0.8298
Epoch 750 | Loss: 0.3675 | Train Acc: 0.8310 | Val Acc: 0.8274
Early stopping at epoch 757
Best epoch:  257
Combination 5/300: {'hidden1': 100, 'hidden2': 25, 'activation': 'relu', 'lr': 0.01, 'alpha': 1e-05, 'batch_size': 256}
Epoch 001 | Loss: 2.9678 | Train Acc: 0.2640 | Val Acc: 0.2512
Epoch 050 | Loss: 0.4779 | Train Acc: 0.8063 | Val Acc: 0.8190
Epoch 100 | Loss: 0.4077 | Train Acc: 0.8146 | Val Acc: 0.8012
Epoch 150 | Loss: 0.4233 | Train Acc: 0.8295 | Val Acc: 0.8202
Epoch 200 | Loss: 0.4225 | Train Acc: 0.8232 | Val Acc: 0.8119
Epoch 250 | Loss: 0.3757 | Train Acc: 0.8161 | Val Acc: 0.8226
Epoch 300 | Loss: 0.4320 | Train Acc: 0.8467 | Val Acc: 0.8571
Epoch 350 | Loss: 0.4068 | Train Acc: 0.8562 | Val Acc: 0.8631
Epoch 400 | Loss: 0.3546 | Train Acc: 0.8393 | Val Acc: 0.8321
Epoch 450 | Loss: 0.3791 | Train Acc: 0.8530 | Val Acc: 0.8500
Epoch 500 | Loss: 0.3522 | Train Acc: 0.8440 | Val Acc: 0.8107
Epoch 550 | Loss: 0.3620 | Train Acc: 0.8506 | Val Acc: 0.8440
Epoch 600 | Loss: 0.3506 | Train Acc: 0.8524 | Val Acc: 0.8500
Epoch 650 | Loss: 0.3331 | Train Acc: 0.8479 | Val Acc: 0.8226
Epoch 700 | Loss: 0.3457 | Train Acc: 0.8670 | Val Acc: 0.8619
Epoch 750 | Loss: 0.3576 | Train Acc: 0.8446 | Val Acc: 0.8381
Epoch 800 | Loss: 0.3326 | Train Acc: 0.8509 | Val Acc: 0.8333
Epoch 850 | Loss: 0.3206 | Train Acc: 0.8637 | Val Acc: 0.8536
Epoch 900 | Loss: 0.3151 | Train Acc: 0.8533 | Val Acc: 0.8369
Epoch 950 | Loss: 0.3137 | Train Acc: 0.8565 | Val Acc: 0.8440
Epoch 1000 | Loss: 0.3194 | Train Acc: 0.8485 | Val Acc: 0.8202
Epoch 1050 | Loss: 0.2959 | Train Acc: 0.8777 | Val Acc: 0.8619
